"NestID","bandid","startI","endI","CheckDate","NestFate"
"4255_2022_1","4255",2022-05-22,2022-05-25,2022-05-26,"Destroyed"
"4255_2022_2","4255",2022-06-15,2022-06-30,2022-07-01,"Destroyed"
"4255_2023_1","4255",2023-05-02,2023-05-13,2023-05-15,"Predation"
"4255_2023_2","4255",2023-06-06,2023-07-02,2023-07-03,"Hatched"
"4419_2022_1","4419",2022-04-30,2022-05-25,2022-05-27,"Hatched"
"4603_2022_2","4603",2022-06-18,2022-07-11,2022-07-12,"Predation"
"4603_2023_1","4603",2023-05-04,2023-05-22,2023-05-26,"Predation"
"4605_2022_2","4605",2022-06-02,2022-06-07,2022-06-09,"Predation"
"4613_2023_1","4613",2023-04-27,2023-05-03,2023-05-08,"Predation"
"4660_2022_1","4660",2022-05-12,2022-05-28,2022-06-08,"Hatched"
"4660_2023_1","4660",2023-05-03,2023-05-15,2023-05-17,"Abandoned"
"4660_2023_2","4660",2023-06-05,2023-06-21,2023-06-23,"Predation"
"4662_2022_1","4662",2022-05-02,2022-05-28,2022-05-29,"Hatched"
"4698_2022_1","4698",2022-05-05,2022-05-09,2022-05-20,"Predation"
"8168_2022_1","8168",2022-05-19,2022-05-25,2022-05-26,"Predation"
"8168_2023_1","8168",2023-05-25,2023-05-30,2023-05-30,"Predation"
"8169_2022_1","8169",2022-04-26,2022-05-06,2022-05-07,"Predation"
"8173_2022_1","8173",2022-06-04,2022-06-30,2022-07-01,"Hatched"
"8174_2023_1","8174",2023-05-06,2023-05-14,2023-05-17,"Predation"
"8175_2023_1","8175",2023-05-18,2023-06-14,2023-06-14,"Abandoned"
"8202_2022_1","8202",2022-05-10,2022-05-19,2022-05-20,"Predation"
"8203_2022_1","8203",2022-05-07,2022-05-14,2022-05-18,"Abandoned"
"8207_2022_1","8207",2022-05-18,2022-06-13,2022-06-14,"Hatched"
"8208_2023_1","8208",2023-04-26,2023-04-30,2023-05-22,"Abandoned"
"8209_2022_1","8209",2022-05-22,2022-05-26,2022-06-01,"Abandoned"
"8209_2022_2","8209",2022-06-17,2022-07-05,2022-07-13,"Predation"
"8210_2022_1","8210",2022-05-28,2022-06-22,2022-06-24,"Hatched"
"8211_2022_1","8211",2022-05-19,2022-05-28,2022-06-01,"Predation"
"8211_2023_1","8211",2023-05-05,2023-05-15,2023-05-19,"Predation"
"8217_2022_1","8217",2022-05-06,2022-06-01,2022-06-02,"Hatched"
"8220_2022_1","8220",2022-04-28,2022-05-06,2022-05-25,"Hatched"
"8220_2023_1","8220",2023-04-24,2023-04-30,2023-05-18,"Predation"
"8220_2023_2","8220",2023-06-06,2023-07-02,2023-07-03,"Hatched"
"8223_2023_1","8223",2023-06-03,2023-06-30,2023-06-30,"Hatched"
"8224_2022_1","8224",2022-04-30,2022-05-06,2022-05-20,"Predation"
"8225_2023_1","8225",2023-04-27,2023-05-04,2023-05-08,"Predation"
"8226_2022_1","8226",2022-05-26,2022-05-31,2022-06-02,"Predation"
"8260_2022_1","8260",2022-05-23,2022-06-07,2022-06-13,"Abandoned"
"8260_2023_1","8260",2023-06-10,2023-07-05,2023-07-07,"Hatched"
"8261_2022_1","8261",2022-04-22,2022-05-12,2022-05-13,"Predation"
"8262_2022_1","8262",2022-04-26,2022-05-01,2022-05-10,"Predation"
"8263_2022_1","8263",2022-05-17,2022-06-11,2022-06-13,"Predation"
"8264_2022_1","8264",2022-05-25,2022-06-02,2022-06-09,"Abandoned"
"8265_2022_1","8265",2022-04-24,2022-05-09,2022-05-10,"Predation"
"8455_2022_1","8455",2022-05-28,2022-06-16,2022-06-24,"Hatched"
"8460_2022_1","8460",2022-05-05,2022-05-09,2022-05-31,"Destroyed"
"8461_2022_1","8461",2022-05-17,2022-06-12,2022-06-13,"Hatched"
"8461_2022_4","8461",2022-08-20,2022-09-16,2022-09-16,"Predation"
"8462_2022_1","8462",2022-05-05,2022-05-08,2022-05-31,"Destroyed"
"8462_2022_3","8462",2022-07-27,2022-07-30,2022-08-02,"Abandoned"
"8464_2023_1","8464",2023-05-19,2023-06-05,2023-06-15,"Hatched"
"8471_2022_2","8471",2022-06-07,2022-06-17,2022-06-21,"Predation"
"8472_2022_1","8472",2022-05-19,2022-06-05,2022-06-07,"Abandoned"
"8472_2023_1","8472",2023-05-11,2023-05-31,2023-06-07,"Predation"
"8473_2022_1","8473",2022-06-01,2022-06-07,2022-06-09,"Abandoned"
"8473_2022_2","8473",2022-07-07,2022-08-02,2022-08-03,"Hatched"
"8473_2023_1","8473",2023-04-24,2023-04-27,2023-04-28,"Abandoned"
"8473_2023_2","8473",2023-06-03,2023-06-22,2023-06-30,"Hatched"
"8478_2022_2","8478",2022-06-14,2022-06-18,2022-06-21,"Predation"
"8479_2022_1","8479",2022-05-30,2022-06-13,2022-06-14,"Predation"
"8483_2022_1","8483",2022-05-12,2022-05-16,2022-05-24,"Destroyed"
"8501_2022_1","8501",2022-05-15,2022-05-24,2022-05-25,"Abandoned"
"8576_2023_1","8576",2023-05-25,2023-06-16,2023-06-21,"Predation"
"8577_2023_1","8577",2023-06-09,2023-07-04,2023-07-06,"Hatched"
"8579_2023_1","8579",2023-05-24,2023-05-30,2023-05-30,"Predation"
"8581_2023_1","8581",2023-05-08,2023-05-13,2023-05-15,"Predation"
"8581_2023_2","8581",2023-06-06,2023-06-17,2023-06-21,"Predation"
"8586_2023_1","8586",2023-05-18,2023-06-10,2023-06-13,"Predation"
"8601_2023_1","8601",2023-05-20,2023-06-15,2023-06-16,"Hatched"
"8602_2023_1","8602",2023-06-13,2023-06-17,2023-06-20,"Predation"
"8602_2023_2","8602",2023-08-15,2023-09-10,2023-09-11,"Hatched"
"8603_2023_1","8603",2023-05-26,2023-06-07,2023-06-14,"Predation"
"8604_2023_1","8604",2023-05-23,2023-06-08,2023-06-13,"Predation"
"8605_2023_1","8605",2023-05-06,2023-05-23,2023-05-26,"Predation"
"8625_2023_1","8625",2023-05-19,2023-06-14,2023-06-15,"Hatched"
"8627_2023_1","8627",2023-04-27,2023-05-02,2023-05-03,"Predation"
"8627_2023_2","8627",2023-05-22,2023-06-13,2023-06-13,"Predation"
"8630_2023_1","8630",2023-05-22,2023-05-28,2023-05-30,"Predation"
"8651_2023_1","8651",2023-05-09,2023-06-01,2023-06-05,"Hatched"
"8659_2023_1","8659",2023-06-14,2023-07-07,2023-07-11,"Hatched"
"8661_2023_1","8661",2023-05-16,2023-06-10,2023-06-12,"Hatched"
"8666_2023_1","8666",2023-05-21,2023-05-31,2023-06-01,"Predation"
"8667_2023_1","8667",2023-05-25,2023-06-18,2023-06-20,"Predation"
"8668_2023_2","8668",2023-06-05,2023-06-16,2023-06-22,"Predation"
"8670_2023_1","8670",2023-05-26,2023-06-14,2023-06-15,"Abandoned"
"8672_2023_1","8672",2023-05-03,2023-05-20,2023-05-30,"Predation"
"8674_2023_1","8674",2023-05-16,2023-05-21,2023-05-23,"Predation"
"8751_2023_1","8751",2023-05-04,2023-05-29,2023-05-31,"Hatched"
"8752_2023_1","8752",2023-05-24,2023-06-18,2023-06-20,"Hatched"
"8758_2023_1","8758",2023-05-11,2023-06-06,2023-06-07,"Hatched"
"8760_2023_1","8760",2023-05-14,2023-05-24,2023-05-30,"Predation"
"8767_2023_1","8767",2023-05-03,2023-05-27,2023-05-30,"Hatched"
"8771_2023_1","8771",2023-06-14,2023-06-27,2023-07-11,"Hatched"
"8775_2023_1","8775",2023-05-04,2023-05-27,2023-05-31,"Predation"
"8802_2023_1","8802",2023-06-11,2023-06-12,2023-06-19,"Predation"
"8803_2023_1","8803",2023-06-02,2023-06-21,2023-06-29,"Hatched"
"8805_2023_1","8805",2023-04-25,2023-05-12,2023-05-22,"Predation"
"8810_2023_1","8810",2023-04-26,2023-04-30,2023-05-01,"Predation"
"8810_2023_2","8810",2023-05-20,2023-06-16,2023-06-16,"Hatched"
"8811_2023_1","8811",2023-06-19,2023-06-29,2023-07-10,"Hatched"
"8902_2023_1","8902",2023-04-28,2023-05-03,2023-05-05,"Predation"
"8902_2023_2","8902",2023-06-08,2023-07-03,2023-07-05,"Hatched"
"8905_2023_2","8905",2023-05-31,2023-06-06,2023-06-08,"Predation"
"8907_2023_1","8907",2023-05-15,2023-06-07,2023-06-07,"Hatched"
"8909_2023_1","8909",2023-04-30,2023-05-03,2023-05-12,"Predation"
"8952_2023_2","8952",2023-07-15,2023-08-10,2023-08-11,"Hatched"
"8953_2023_1","8953",2023-06-03,2023-06-27,2023-06-30,"Hatched"
"8955_2023_2","8955",2023-06-06,2023-06-09,2023-06-13,"Predation"
"8992_2023_1","8992",2023-05-15,2023-05-18,2023-05-22,"Predation"
"8993_2023_1","8993",2023-04-24,2023-05-02,2023-05-03,"Predation"
"8995_2023_1","8995",2023-05-23,2023-06-17,2023-06-18,"Hatched"
"8997_2023_2","8997",2023-05-28,2023-06-04,2023-06-05,"Predation"
"8998_2023_1","8998",2023-04-28,2023-05-08,2023-05-11,"Predation"
"9000_2023_2","9000",2023-06-08,2023-07-03,2023-07-05,"Hatched"
"9002_2023_1","9002",2023-04-23,2023-04-28,2023-05-15,"Predation"
"9003_2023_2","9003",2023-06-05,2023-06-08,2023-06-12,"Predation"
"9005_2023_1","9005",2023-04-25,2023-05-11,2023-05-12,"Predation"
"9005_2023_2","9005",2023-06-13,2023-07-08,2023-07-10,"Hatched"
"9007_2023_1","9007",2023-05-03,2023-05-29,2023-05-30,"Hatched"
"9009_2023_1","9009",2023-05-16,2023-05-26,2023-05-30,"Predation"
"9010_2023_1","9010",2023-05-01,2023-05-05,2023-05-05,"Predation"
"9010_2023_2","9010",2023-06-02,2023-06-07,2023-06-29,"Hatched"
"9013_2023_1","9013",2023-04-22,2023-05-08,2023-05-11,"Predation"
"9013_2023_2","9013",2023-06-30,2023-07-22,2023-07-25,"Destroyed"
"9019_2023_1","9019",2023-05-27,2023-05-31,2023-06-06,"Predation"
"9020_2023_1","9020",2023-05-18,2023-06-04,2023-06-06,"Predation"
"9021_2023_1","9021",2023-05-08,2023-05-15,2023-05-17,"Predation"
"9022_2023_2","9022",2023-06-09,2023-06-16,2023-07-05,"Predation"
"9023_2023_2","9023",2023-06-15,2023-06-26,2023-06-30,"Predation"
"9024_2023_1","9024",2023-04-29,2023-05-02,2023-05-03,"Predation"
"9024_2023_2","9024",2023-05-20,2023-06-02,2023-06-06,"Predation"
"9024_2023_3","9024",2023-07-08,2023-07-20,2023-07-24,"Predation"
"9026_2023_1","9026",2023-05-06,2023-06-01,2023-06-02,"Hatched"
"9051_2023_1","9051",2023-07-21,2023-08-04,2023-08-04,"Abandoned"
"9054_2023_1","9054",2023-04-25,2023-05-01,2023-05-08,"Predation"
"9054_2023_2","9054",2023-05-24,2023-06-17,2023-06-20,"Hatched"
"9055_2023_1","9055",2023-05-12,2023-05-16,2023-05-17,"Destroyed"
"9055_2023_2","9055",2023-06-10,2023-06-17,2023-06-20,"Destroyed"
"9058_2023_1","9058",2023-04-22,2023-04-24,2023-04-26,"Predation"
"9062_2023_1","9062",2023-06-17,2023-06-23,2023-07-13,"Predation"
"9064_2023_1","9064",2023-04-23,2023-04-28,2023-04-28,"Predation"
"9065_2023_1","9065",2023-05-16,2023-06-11,2023-06-12,"Hatched"
"9068_2023_1","9068",2023-04-22,2023-05-03,2023-05-08,"Predation"
"9075_2023_1","9075",2023-04-28,2023-05-25,2023-05-25,"Hatched"
"9076_2023_1","9076",2023-06-07,2023-06-22,2023-06-22,"Predation"
"9076_2023_2","9076",2023-07-17,2023-08-10,2023-08-11,"Predation"
"9079_2023_1","9079",2023-05-25,2023-05-29,2023-06-01,"Destroyed"
"9083_2023_1","9083",2023-05-05,2023-05-11,2023-05-11,"Predation"
"9084_2023_1","9084",2023-05-26,2023-06-20,2023-06-22,"Hatched"
"9085_2023_1","9085",2023-05-30,2023-06-25,2023-06-26,"Hatched"
"9090_2023_1","9090",2023-05-03,2023-05-24,2023-05-30,"Hatched"
"9092_2023_2","9092",2023-06-13,2023-06-28,2023-06-29,"Predation"
"9093_2023_1","9093",2023-05-06,2023-05-15,2023-05-22,"Predation"
"9094_2023_1","9094",2023-05-07,2023-05-18,2023-05-18,"Predation"
"9096_2023_1","9096",2023-05-09,2023-05-20,2023-05-23,"Predation"
