bandid,checkyr,checkmo,checkday,checkdate,startsearchdate,nestfound,nestid,lat_n,long_n,transmitterid_n,nestnumber,wmu_n,county_n,township_n,landownership_n,eggshatched,eggsunhatched,ageunhatched,eggsdestroyed,nestfate,nestsubfate1,nestsubfate2,nestcomments,unhatchids
4255,2022,5,26,5/26/2022,4/6/2022,Y,4255_2022_1,41.53,-75.4,10095,1,3D,Wayne,South Canaan,Private,0,5,1,3,Destroyed,Human,Agricultural,"Nest was located in a pasture, cattle destroyed 3 of 8 eggs",
4255,2022,7,1,7/1/2022,5/12/2022,Y,4255_2022_2,41.53,-75.4,10095,2,3D,Wayne,South Canaan,Private,0,0,0,2,Destroyed,Human,Agricultural,Nest was in hay field approximately 15 yards from tree line. ACC data shows hen left nest 06/29/22 but has not gone far from location staying within a 150 yard radius from nest. Shell fragments were found but no sign of embryos (estimated age would have been over 2 weeks from beginning of incubation). Crows and ravens were in area scavenging upon arrival. Nest bowl was under/next to raked hay. Two feathers were found within 3 feet of egg fragments.,
4255,2023,5,15,5/15/2023,3/26/2023,Y,4255_2023_1,41.53,-75.39,10095,1,3D,Wayne,South Cannan,Private,0,0,99,0,Predation,Unknown Predator,,No eggs or shells found in or around nest bowl. A few feathers scattered around nest site.,
4255,2023,7,3,7/3/2023,5/14/2023,Y,4255_2023_2,41.52,-75.4,10095,2,3D,Wayne,South Canaan,Private,9,1,99,0,Hatched,,,"10095 began incubating her 2nd nest on 6/4 and hatched on 6/30. 9 of 10 eggs hatched, lone egg submitted to UTenn. Hens GPS points show her crossing an adjacent pond on 7/2. Unknown water level at time bird crossed. ACC and GPS data on 7/3 download exhibits brooding behavior.",PA-4255-1-23-2
4419,2022,5,27,5/27/2022,4/7/2022,Y,4419_2022_1,40.8,-77.5,10126,1,4D,Centre,Penn,Public,11,0,0,0,Hatched,,,Nest in dense laurel with mature oak and downed log as guard objects,
4603,2022,7,12,7/12/2022,5/23/2022,Y,4603_2022_1,40.81,-75.41,10121,1,3D,Northampton,Moore,Private,0,0,0,0,Predation,,,Hen started incubating on 06/16/22 and was projected to hatch on 07/13/22. Zero evidence of eggs found in or around nest bowl.  Pulled feathers with possible saliva found on a few near and around nest bowl.,
4603,2023,5,26,5/26/2023,4/6/2023,Y,4603_2023_1,40.83,-75.4,10121,1,3D,Monroe,Eldred,Public,0,0,99,5,Predation,Unknown Predator,,"Nest bowl was located under a Japanese barberry bush, pieces of eggshell were found in the nest bowl and scattered in a 2m radius. A minimum of 5 eggs were identified but there were likely more.",
4603,2022,5,18,5/18/2022,3/29/2022,N,4603_NoNest_5_18_2022,40.83,-75.4,10121,,3D,Monroe,Eldred,Public,0,0,0,0,Unknown,,,"Nest not found. Search for 1 hour, no sign of nest bowl, eggs or feathers.",
4603,2023,7,17,7/17/2023,5/28/2023,N,4603_NoNest_7_17_2023,,,10121,,3D,Monroe,Eldred,Private,99,99,99,99,,,,"Hen began incubating on 6/21 but abandonment date is unknown die top transmitter exhibiting low battery behavior and not taking ACC/GPS readings. Nest check was initiated after ping was no longer heard in area on 7/17. Based on given GPS location, nest was located in a flower bed along an abandoned house. The area the nest was in was recently excavated. Nest was not located due to the active construction likely destroying nest.",
4605,2022,6,9,6/9/2022,4/20/2022,Y,4605_2022_1,40.84,-75.42,10139,1,3D,Monroe,Eldred,Public,0,0,0,0,Predation,,,Nest Bowl had no sign of eggs or predation.  Located just next to Japanese Barberry bushes on hedge line of two fields.  Hen abandoned nest around 4am on 06/07/22 and returned and left multiple times between 06/07/22 and 06/08/22.  Hen started incubating on 06/01/22.,
4605,2022,5,12,5/12/2022,3/23/2022,N,4605_NoNest_5_12_2022,40.85,-75.42,10139,,3D,Monroe,Eldred,Private,0,0,0,0,Unknown,,,"Nest not found.  Searched a radius of 40 yards for 1 hour, no sign of nest bowl, eggs or feathers.",
4605,2022,7,1,7/1/2022,5/12/2022,N,4605_NoNest_7_1_2022,40.83,-75.42,10139,,3D,Monroe,Eldred,Public,0,0,0,0,Predation,Mammalian,,"Hen started incubating on 06/27/22 and Predated by fox on 06/29/22. NO NEST BOWL was found, NO EGGS found.",
4613,2023,5,8,5/8/2023,3/19/2023,Y,4613_2023_1,41.04,-75.29,10066,1,3D,Monroe,Pocono,Private,0,12,99,3,Predation,Mammalian,Unknown Mammal,"10066 is a SY hen (never incubating previous year as a juvenile) started incubation on 04/29/23 and had an estimated hatch date of 05/26/23. At 0800 on 04/30/23 the ACCplot indicates a large spike then returns to normal incubation movement 2 hours later. Hen continued to incubate until 05/02/23, indicated by ACCplot with typical non-incubating activity. Upon arrival to nest bowl, 16 eggs total were found (12 whole, 3 predated and 1 broken), along with a chunk of feathers pulled from 10066 with chew marks. The kml files paired with the in-field investigation supports the ACCplot in which 10066 was attacked on the nest and 3 eggs were predated and 1 egg was broken. 10066 then returns to attempt to incubate for another ~24 hours. Then for another ~48 hours data shows her movement increases to non-incubating yet stays close by next and returns to nest frequently until she then abandons at 1400 on 05/03/23. Hen is still in the general area but has not returned to nest since.",
4613,2023,6,20,6/20/2023,5/1/2023,Y,4613_2023_2,41.05,-75.29,10066,2,3D,Monroe,Pocono,Private,0,0,99,0,Predation,Unknown Predator,,"Hen began incubating 05/27 and nest was abandoned on June 15th. Nest bowl located on June 20th no sign of any eggs, shells, or feathers anywhere near nest bowl. This transmitter has low battery and only gave 1 point on the 15th and the hen was near her nest bowl. Next download showed that hen left nest on the 15th.",
4660,2022,6,8,6/8/2022,4/19/2022,Y,4660_2022_1,41.34,-75.12,10078,1,3D,Pike,Blooming Grove,Private,9,0,0,0,Hatched,,,Nest was located under a Japanese Barberry shrub on a south facing slope surrounded by grasses and blueberry. Lots of sign of scratching within a 10m radius of nest. Hen moved approximately 135 yards West from nest. All eggs successfully hatched and were collected for presentations and other public interactions.,
4660,2023,5,17,5/17/2023,3/28/2023,Y,4660_2023_1,41.34,-75.12,10078,1,3D,Pike,Blooming Grove,Private,0,0,99,12,Abandoned,,,"Based on ACC and GPS data the hen appeared to abandon nest on 5/15 and did not return to nest for roughly 7 hours. A nest check was conducted at this time. The latest GPS point taken indicated the hens location was roughly 190 yards away from the nest, and pinged location prior to walking indicated the hen was away from nest. When approaching the nest, the hen was seen incubating approximately 25 yards away. When slowly backing away bird flushed. A secondary nest check was conducted 5/17, based on ACC and GPS data, the hen did not return to nest after being flushed. 12 broken eggs were found outside the nest bowl roughly 2-3 feet.",
4660,2023,6,23,6/23/2023,5/4/2023,Y,4660_2023_2,41.34,-75.12,10078,2,3D,Pike,Blooming Grove,Private,0,0,99,11,Predation,Unknown Predator,,Hen began second nest attempt on 6/5 and abandoned on 6/21. Based on GPS data hen likely was on recess and returned to either a predated nest or predator attacked her upon reincubating. Lots of feathers found in surrounding 15ΓÇÖ radius of nest. No sign of predators around nest site. 10 eggs found within 1ΓÇÖ of nest bowl and one found 10ΓÇÖ from bowl. All eggs had bites taken out from one side. Hen was downloaded 650 yards from nest location on 6/23,
4662,2022,5,29,5/29/2022,4/9/2022,Y,4662_2022_1,41.34,-75.1,10143,1,3D,Pike,Blooming Grove,Private,5,0,0,0,Hatched,,,Nest was located on a small cliff with Japanese barberry surrounding the entire nest. Surrounding area was mainly shrubs as per vegetation data sheet. All eggs successfully hatched.,
4698,2022,5,20,5/20/2022,3/31/2022,Y,4698_2022_1,41.39,-74.97,10134,1,3D,Pike,Shohola,Public,0,0,0,0,Unknown,,,No eggs or shells found. nest bowl was located with a large number of feathers scattered around it. Unknown fate beleived to be mammalian.,
8166,2023,4,24,4/24/2023,3/5/2023,Y,8166_2023_1,40.88,-79.19,10074,1,2D,Indiana,West Mahoning,Public,0,8,99,2,Predation,Unknown Predator,,Nest found with 8 whole eggs in bowl and 2 broken leading away from nest.,PA-8166-1-8
8168,2022,5,26,5/26/2022,4/6/2022,Y,8168_2022_1,40.74,-79.31,10080,1,2D,Armstrong,Plumcreek,Private,0,0,0,2,Predation,Mammalian,,Both eggs found our of nest bowl and were crushed/cracked,
8168,2023,5,30,5/30/2023,4/10/2023,Y,8168_2023_1,40.74,-79.31,10080,1,2D,Armstrong,Plumcreek,Private,0,0,99,3,Predation,Unknown Predator,,Nest found with three eggs in bowl. Could be avian predator because all eggs had small hole poked in it like a beak.,
8169,2022,5,7,5/7/2022,3/18/2022,Y,8169_2022_1,40.75,-79.34,10071,1,2D,Armstrong,Plumcreek,Private,0,0,0,0,Predation,Mammalian,,"Hen was attacked on nest indicated by feathers around nest, GPS data, and acc plot. Hen found 500m away. Nest was depression on top of boulder in multiflora rose bush. No eggs found at nest or around nest. Mammal scat found near nest.",
8172,2022,6,9,6/9/2022,4/20/2022,Y,8172_2022_1,40.73,-79.29,10115,1,2D,Armstrong,Plumcreek,Private,0,99,99,99,Predation,Mammalian,," 10115 nest was predated and as a result no eggs were left or found so I canΓÇÖt say how many eggs didnΓÇÖt hatch, how many eggs were predated or clutch size. It is unknown",
8173,2022,7,1,7/1/2022,5/12/2022,Y,8173_2022_1,40.72,-79.29,10097,1,2D,Armstrong,Plumcreek,Private,9,0,99,99,Hatched,,,9 eggs hatched from nest successfully.,
8174,2022,6,2,6/2/2022,4/13/2022,Y,8174_2022_1,40.73,-79.32,10068,1,2D,Armstrong,Plumcreek,Private,0,0,0,3,Predation,Mammalian,,One egg found near nest bowl; Other two eggs found within 6ft of nest; All eggs cracked/crushed,
8174,2023,5,17,5/17/2023,3/28/2023,Y,8174_2023_1,40.74,79.31,10068,1,2D,Armstrong,Plumcreek,Private,0,0,99,99,Predation,Unknown Predator,,"Hen most likely was attacked on the nest and died, She was found 150 yards from nest. No egg shells left only feathers.",
8175,2023,6,14,6/14/2023,4/25/2023,Y,8175_2023_1,40.74,-79.29,10144,1,2D,Armstrong,Plumcreek,Private,0,10,99,0,Abandoned,,,10 unhatched eggs found. 6 of them were hidden underneath a small rock overhang. 3 were still in nest bowl and one was rolled a few feet away. No damage to eggs.,PA-8175-1; PA-8175-2; PA-8175-3; PA-8175-4; PA-8175-5; PA-8175-6; PA-8175-7; PA-8175-8; PA-8175-9; PA-8175-10
8176,2022,5,13,5/13/2022,3/24/2022,Y,8176_2022_1,40.73,-79.29,10091,1,2D,Armstrong,Plumcreek,Private,0,2,0,4,Predation,Mammalian,,4 half shells found so clutch was at least 2. Lots of feathers in area indicating hen was attacked but is still alive,
8176,2022,6,13,6/13/2022,4/24/2022,Y,8176_2022_2,40.74,-79.29,10091,2,2D,Armstrong,Plumcreek,Private,0,1,2,2,Abandoned,,,1 whole egg found 25 yards from nest site. Development was determined to be in week 2. Another crushed egg was found 50 yards from nest. No eggs were found in nest bowl. Some feathers were present.,
8176,2023,4,25,4/25/2023,3/6/2023,Y,8176_2023_1,40.72,-79.28,10091,1,2D,Armstrong,Plumcreek,Private,0,0,99,1,Predation,Unknown Predator,,Only one predated egg was found. Lots of feathers around nest but hen survived attack. Hen incubated for about 5 days the left nest at 7am on 4/25.,
8176,2023,6,4,6/4/2023,4/15/2023,Y,8176_2023_2,40.72,-79.3,10091,2,2D,Armstrong,Plumcreek,Private,0,0,99,1,Predation,Unknown Predator,,"One broken egg shell found near bowl, some breast feathers found in bowl.",
8176,2023,8,8,8/8/2023,6/19/2023,Y,8176_2023_3,40.74,-79.29,10091,3,2D,Armstrong,Plumcreek,Private,9,1,99,0,Hatched,,,,PA-8176-1
8177,2022,6,24,6/24/2022,5/5/2022,Y,8177_2022_1,40.92,-79.45,10100,1,2D,Armstrong,Pine,Private,0,0,0,2,Predation,,,2 egg shells found near nest bowl; Hen killed by suspected avian predator,
8180,2023,4,24,4/24/2023,3/5/2023,Y,8180_2023_1,40.91,-79.44,10094,1,2D,Armstrong,Pine,Public,0,2,99,99,Predation,Unknown Predator,,Eggs found ~2m downhill from nest bowl. Possibly kicked off the nest and rolled to where they were found.,PA-8180-1-2
8181,2023,5,4,5/4/2023,3/15/2023,Y,8181_2023_1,40.94,-79.45,10129,1,2D,Armstrong,Madison,Private,0,0,99,7,Predation,Unknown Predator,,Broken eggs found in/around nest bowl along with breast feathers- hen still alive though.,
8181,2023,6,12,6/12/2023,4/23/2023,Y,8181_2023_2,40.94,-79.43,10129,2,2D,Armstrong,Madison,Private,0,0,99,0,Abandoned,,,GPS/ACC data as well as breast feathers found in a clear indentation of the ground confirmed nest bowl location. No eggs or shells found in or around bowl.,
8183,2022,9,26,9/26/2022,8/7/2022,Y,8183_2022_1,40.88,-79.54,10133,1,2D,Armstrong,East Franklin,Private,99,99,99,0,Hatched,,,Egg shells completely broken into tiny pieces. Found at least 3 egg linings. Hard to determine clutch size since it has been over 3 months since hatch date. Total clutch size is unknown.,
8183,2023,5,30,5/30/2023,4/10/2023,Y,8183_2023_1,40.88,-79.54,10133,1,2D,Armstrong,East Franklin,Private,0,0,99,3,Predation,Unknown Predator,,"Hen left nest on 5/28 around 1700 EST. No eggs or egg shell pieces found in nest bowl. Egg shell pieces found within 1 yard of nest bowl, could have been destroyed by predator or hen fleeing. Body feathers and tail feather found in and around nest bowl. Egg shell pieces and 1 destroyed egg shell found along road about 5 yards from nest bowl.",
8184,2022,9,21,9/21/2022,8/2/2022,Y,8184_2022_1,40.88,-79.52,10131,1,2D,Armstrong,East Franklin,Private,5,0,0,0,Hatched,,,Approximately 3 egg shells found but 5-6 egg linings were found in nest bowl,
8184,2023,6,6,6/6/2023,4/17/2023,Y,8184_2023_1,40.88,-79.51,10131,1,2D,Armstrong,East Franklin,Private,8,0,99,99,Hatched,,,8 Hatched eggs found at nest at base of tree. Hatch date is 6/4/23.,
8187,2023,5,5,5/5/2023,3/16/2023,Y,8187_2023_1,40.92,-79.45,10088,1,2D,Armstrong,Madison,Public,0,14,99,0,Abandoned,,,,PA-8187-1-14
8187,2023,6,2,6/2/2023,4/13/2023,Y,8187_2023_2,40.93,-79.46,10088,2,2D,Armstrong,Pine,Public,0,0,99,0,Predation,Mammalian,,"Hen killed on nest, organ bits and ample feathers confirmed mortality. No sign of eggs or shells in or around nest. Hen began incubation on 5/23/23.",
8187,2022,6,10,6/10/2022,4/21/2022,N,8187_NoNest_6_10_2022,40.93,-79.46,10088,,2D,Armstrong,Pine,Private,0,0,0,0,Predation,,,Nest location unknown; 0 eggs found; Suspected hatched but could've been predated,
8188,2022,5,31,5/31/2022,4/11/2022,Y,8188_2022_1,40.71,-79.3,10142,1,2D,Armstrong,Plumcreek,Private,9,4,99,0,Hatched,,,"Nest hatched successfully, 4 unhatched eggs. One embryo at week 1 development and 3 embryos at week 4 development",
8188,2023,5,10,5/10/2023,3/21/2023,Y,8188_2023_1,0.72,79.3,10142,1,2D,Armstrong,Plumcreek,Private,0,0,99,5,Predation,Unknown Predator,,Nest was abandoned and 5 potential egg shells left. Lots of hen feathers laying around nest indicating a struggle. Hen is still alive.,
8188,2023,6,5,6/5/2023,4/16/2023,Y,8188_2023_2,40.72,-79.31,10142,2,2D,Armstrong,Plumcreek,Private,0,11,99,99,Abandoned,,,Nest abandoned on 6/3/23. 11 whole eggs found in nest bowl. Eggs collected and shipped to UTENN.,"PA-8188-1-23-2, PA-8188-2-23-2, PA-8188-3-23-2, PA-8188-4-23-2, PA-8188-5-23-2, PA-8188-6-23-2, PA-8188-7-23-2, PA-8188-8-23-2, PA-8188-9-23-2, PA-8188-10-23-2, PA-8188-11-23-2"
8189,2022,5,17,5/17/2022,3/28/2022,Y,8189_2022_1,40.74,-79.31,10146,1,2D,Armstrong,Plumcreek,Private,0,0,0,8,Predation,Mammalian,,"Seven eggs found in and around nest bowl, one egg found 7 yards east of nest. All eggs cracked/crushed/broken. Scat found within 1m of nest bowl",
8189,2022,6,16,6/16/2022,4/27/2022,Y,8189_2022_2,40.74,-79.29,10146,2,2D,Armstrong,Plumcreek,Private,0,0,0,5,Predation,Mammalian,,2 eggs found in/near nest bowl; 3 eggs found outside of nest bowl; All eggs were crushed/cracked; Mammal scat found near nest site,
8191,2022,5,24,5/24/2022,4/4/2022,Y,8191_2022_1,40.73,-79.29,10101,1,2D,Armstrong,Plumcreek,Private,0,0,0,0,Predation,,,No eggs or shells found in nest bowl or around nest site. Hen body feathers found in and around nest bowl.,
8191,2023,6,8,6/8/2023,4/19/2023,Y,8191_2023_1,40.74,-79.29,10101,1,2D,Armstrong,Plumcreek,Private,0,0,99,1,Predation,Unknown Predator,,1 crushed egg found 30 meters away,
8191,2023,7,17,7/17/2023,5/28/2023,Y,8191_2023_2,40.74,-79.29,10101,2,2D,Armstrong,Plumcreek,Private,0,0,99,2,Predation,Unknown Predator,,,
8202,2022,5,20,5/20/2022,3/31/2022,Y,8202_2022_1,40.82,-77.52,10063,1,4D,Centre,Gregg,Public,0,0,0,10,Predation,Mammalian,,Nest was found on a steep Eastern facing slope with heavy Rhododendron cover at 1700ΓÇÖ MSL. Hen was attacked on nest with feathers all around and 10 predated eggs scattered out to 1m from nest. HenΓÇÖs body parts with transmitter found 83 yards down the slope to the East. Hen clearly scavenged and suspected death from an unknown mammal.,
8203,2022,5,18,5/18/2022,3/29/2022,Y,8203_2022_1,40.82,-77.56,9775,1,4D,Centre,Gregg,Private,0,5,2,6,Abandoned,,,Comments: Hen likely abandoned nest due to forester presence marking trees all around the nest and as close as 10m. Blue paint on trees was very fresh. Some eggs clearly scavenged/predated after abandonment. 6 eggs were scavenged and 5 eggs remained whole for embryo evaluation. Embryos declared to be 9 days old and scavenged eggs clearly mammalian (tooth marks/punctures on shell). Nest was located on a South facing slope at 1560ΓÇÖ MSL and within 15m of nearest logging road.,
8203,2023,4,28,4/28/2023,3/9/2023,N,8203_NoNest_4_28_2023,,,9775,,4D,Centre,Gregg,Private,99,99,99,99,,,,Hen began incubation 4/24. Hen abandoned nest on 4/26 as a result of timber operations. Nest Bowl impossible to find in slash and debris cut down and pushed aside by bulldozer. Suspected nest where Feathers were found IVO GPS location. 6 predated eggs were found scattered in a 360 around suspected nest site.,
8203,2023,5,30,5/30/2023,4/10/2023,N,8203_NoNest_5_30_2023,,,9775,,4D,Centre,Gregg,Private,99,99,99,99,,,,Hen began incubating on 5/13 but was predated between 5/26 and 5/27. No evidence of the nest could be located.,
8204,2023,5,31,5/31/2023,4/11/2023,Y,8204_2023_1,40.86,-77.44,9779,1,4D,Centre,Haines,Private,12,0,99,0,Hatched,,,"The hen hatched 12 eggs on 5/28; the nest bowl was located just off the side of a lighlty used driveable trail on private property; little understory vegetation with the exception of fern; mostly a mature, high canopy; partial obstruction from a downed log at a height of 50 cm",
8204,2022,5,24,5/24/2022,4/4/2022,N,8204_NoNest_5_24_2022,40.86,-77.44,9779,,4D,Centre,Haines,Private,0,0,0,0,Unknown,,,Nest was NOT found. Hen was nesting deep in the Bald Eagle State Forest. Searched for nest for over an hour and could not find any sign of a nest or eggs/shells. Nest GPS location in very dense Mt. Laurel.,
8207,2022,6,14,6/14/2022,4/25/2022,Y,8207_2022_1,40.85,-77.49,9776,1,4D,Centre,Penn,Private,10,0,0,0,Hatched,,,Nest by tree under dense woody debris. 20 m from private driveway,
8208,2022,9,1,9/1/2022,7/13/2022,Y,8208_2022_1,41.02,-77.5,10064,1,4D,Clinton,Porter,Private,99,99,99,0,Hatched,,,"Approximately 9 semi- to- completely crushed eggs found within 1m of each other in nest bowl beneath a Japanese barberry bush beside a low log, difficult to determine nest fate or total clutch size given the condition of the egg shells and the amount of time that has passed since the hatch likely occured",
8208,2023,5,22,5/22/2023,4/2/2023,Y,8208_2023_1,41.02,-77.51,10064,1,4D,Clinton,Porter,Private,0,17,99,99,Abandoned,,,Unknown reason for abandonment. Nest located in dry stream bed adjacent to active stream.,PA-8208-1-2023-1
8209,2022,6,1,6/1/2022,4/12/2022,Y,8209_2022_1,40.98,-78.16,9777,1,4D,Clearfield,Cooper,Private,0,11,1,0,Abandoned,,,Nest 12 m from unpaved road frequently used by 4 wheelers. Embryos were around 3 days old with 2 blood vessels and a small embryo. Co,
8209,2022,7,13,7/13/2022,5/24/2022,Y,8209_2022_2,40.96,-78.19,9777,2,4D,Clearfield,Morris,Private,0,0,99,9,Predation,Mammalian,,"Hen abandoned nest on 7/5, proposed hatch date was 7/13; egghells were either partially or completely crushed",
8210,2022,6,24,6/24/2022,5/5/2022,Y,8210_2022_1,40.97,-78.18,9763,1,4D,Clearfield,Morris,Private,4,3,3,0,Hatched,,,In wood line next to construction site,
8211,2022,6,1,6/1/2022,4/12/2022,Y,8211_2022_1,40.97,-78.18,10060,1,4D,Clearfield,Morris,Private,0,0,0,3,Predation,Mammalian,,"Three predated eggs were noted around nest, no others were found. Some feathers were present suggesting the hen had been attacked on the nest but not killed.",
8217,2022,6,2,6/2/2022,4/13/2022,Y,8217_2022_1,41.19,-77.03,10107,1,4D,Lycoming,Armstrong,Private,13,2,3,0,Hatched,,,"Guard object was a tree. Nest located on north facing, steep rocky slope. Saw hen on the way up and counted at least 13 poults.",
8220,2022,5,25,5/25/2022,4/5/2022,Y,8220_2022_1,41.19,-77.01,10111,1,4D,Lycoming,Armstrong,Private,9,1,3,0,Hatched,,,"found under conifer, eggs found with clear egg tooth marks, one unhatched egg found. 9 hatched eggs found.",
