bandid,nestid_v,plottype,surveyyr,surveymo,surveyday,lat_v,long_v,transmitterid_v,nestnumber_v,wmu_v,county_v,township_v,landownership_v,guardobject,guardvo,guardht,averagevo,averagemaxvo,percwoody,percfern,percgrassforb,perclitter,percbare,percboulder,woodyht,fernht,grassforbht,litterht,boulderht,stemcount,woodytype1,woodytype2,vegcomments
8169,8169_2022_1,Nest,2022,5,9,40.75468,-79.33604,10071,1,2D,Armstrong,Plumcreek,Private,Log,Partial,1,0.5,1.2,90,0,0,92.5,0,0,58,20,6,2,41,56,Non-native Invasive,Grpvines dwn/dead wood,
8169,8169_2022_1,North,2022,5,10,40.75562,-79.33608,10071,1,2D,Armstrong,Plumcreek,Private,Log,Partial,1,0.1,0.9,72.5,0,20,92.5,0,5,91,10,20,2,32,77,Non-native Invasive,Grpvines dwn/dead wood,
8169,8169_2022_1,East,2022,5,10,40.75468,-79.3349,10071,1,2D,Armstrong,Plumcreek,Private,Log,Partial,1,0.6,0.9,37.5,0,37.5,97.5,0,0,64,21,25,2,0,53,Non-native Invasive,Grpvines dwn/dead wood,
8169,8169_2022_1,South,2022,5,10,40.75381,-79.33613,10071,1,2D,Armstrong,Plumcreek,Private,Log,Partial,1,0.6,1.7,67.5,0,20,97.5,0,0,25,13,8,2,0,21,Non-native Invasive,Grpvines dwn/dead wood,
8169,8169_2022_1,West,2022,5,10,40.75471,-79.33729,10071,1,2D,Armstrong,Plumcreek,Private,Log,Partial,1,0.1,0.8,30,0,37.5,65,20,0,79,41,15,2,0,82,Non-native Invasive,Grpvines dwn/dead wood,
4698,4698_2022_1,Nest,2022,5,23,41.386338,-74.9651107,10134,1,3D,Pike,Shohola,Public,Tree,Partial,2,0.1,0.1,32.5,0,0,85,0,20,30,10,8,5,28,24,Grpvines dwn/dead wood,,
4698,4698_2022_1,North,2022,5,23,41.3872331,-74.9653407,10134,1,3D,Pike,Shohola,Public,Tree,Partial,2,0,0.5,27.5,0,0,82.5,0,25,45,12,9,2,28,37,Grpvines dwn/dead wood,,
4698,4698_2022_1,East,2022,5,23,41.3865082,-74.9639969,10134,1,3D,Pike,Shohola,Public,Tree,Partial,2,0,1,70,0,0,85,0,0,30,15,10,2,10,67,Decid. Eric,,
4698,4698_2022_1,South,2022,5,23,41.3855447,-74.9649997,10134,1,3D,Pike,Shohola,Public,Tree,Partial,2,0,0.2,47.5,0,0,87.5,0,0,54,7,5,1,10,76,Grpvines dwn/dead wood,,
4698,4698_2022_1,West,2022,5,23,41.3863011,-74.9662161,10134,1,3D,Pike,Shohola,Public,Tree,Partial,2,0,0.6,30,0,0,85,0,25,83,18,8,1,18,52,Grpvines dwn/dead wood,,This plot bordered a thick patch of hay-scented ferns. It was approximately 10m from 100m plot.
8176,8176_2022_1,Nest,2022,5,19,40.729561,-79.285779,10091,1,2D,Armstrong,Plumcreek,Private,Tree,Partial,2,0.1,0.3,0,0,37.5,100,0,0,9,20,37,4,0,7,Grpvines dwn/dead wood,,
8176,8176_2022_1,North,2022,5,19,40.73024,-79.28538,10091,1,2D,Armstrong,Plumcreek,Private,Tree,Partial,2,0.1,1.2,5,0,97.5,50,0,0,38,22,20,1,0,16,Grpvines dwn/dead wood,,
8176,8176_2022_1,East,2022,5,19,40.729576,-79.28426,10091,1,2D,Armstrong,Plumcreek,Private,Tree,Partial,2,0.2,0.4,2.5,0,60,45,37.5,0,21,31,41,3,0,4,Grpvines dwn/dead wood,,
8176,8176_2022_1,South,2022,5,19,40.72882,-79.28486,10091,1,2D,Armstrong,Plumcreek,Private,Tree,Partial,2,0.1,0.7,2.5,22.5,72.5,92.5,0,0,16,28,21,2,0,11,Grpvines dwn/dead wood,,
8176,8176_2022_1,West,2022,5,19,40.72935,-79.2862,10091,1,2D,Armstrong,Plumcreek,Private,Tree,Partial,2,0.1,1.3,15,0,100,70,0,0,288,0,28,3,0,132,Decid. Non-eric,Non-native Invasive,
8220,8220_2022_1,Nest,2022,5,25,41.19052,-77.01083,10111,1,4D,Lycoming,Armstrong,Private,Tree,Partial,2,0.1,2,70,2.5,0,40,0,0,70,30,0,2,0,1,Evrgrn Shrub,Decid. Eric,lots of laurel/blueberry
8220,8220_2022_1,North,2022,5,25,41.19145,-77.01085,10111,1,4D,Lycoming,Armstrong,Private,Tree,Partial,2,0.7,1.5,90,5,0,47.5,0,0,100,25,0,2,0,8,Evrgrn Shrub,Decid. Eric,lots of laurel/blueberry
8220,8220_2022_1,East,2022,5,25,41.18966,-77.0108,10111,1,4D,Lycoming,Armstrong,Private,Tree,Partial,2,0.4,1.8,90,0,0,22.5,0,0,175,0,0,2,0,10,Evrgrn Shrub,Decid. Eric,lots of laurel/blueberry
8220,8220_2022_1,South,2022,5,25,41.19057,-77.00963,10111,1,4D,Lycoming,Armstrong,Private,Tree,Partial,2,0.5,2,90,0,0,27.5,0,0,88,0,0,2,0,0,Evrgrn Shrub,Decid. Eric,lots of laurel/blueberry
8220,8220_2022_1,West,2022,5,25,41.19046,-77.01202,10111,1,4D,Lycoming,Armstrong,Private,Tree,Partial,2,0.6,0.8,92.5,0,0,45,0,0,60,0,0,2,0,9,Evrgrn Shrub,Decid. Eric,lots of laurel/blueberry
8262,8262_2022_1,Nest,2022,5,10,40.65937,-78.15945,10125,1,4D,Huntingdon,Warriors Mark,Private,Log,Partial,0.2,0.3,2,67.5,7.5,15,100,0,0,183,15,12,3,0,0,,,
8262,8262_2022_1,North,2022,5,10,40.6601,-78.15943,10125,1,4D,Huntingdon,Warriors Mark,Private,Log,Partial,0.2,0.1,2,62.5,7.5,15,100,0,0,310,15,20,3,0,0,,,
8262,8262_2022_1,East,2022,5,10,40.65937,-78.15846,10125,1,4D,Huntingdon,Warriors Mark,Private,Log,Partial,0.2,0.1,2,30,0,10,100,0,0,412,0,18,3,0,0,,,
8262,8262_2022_1,South,2022,5,10,40.65863,-78.15945,10125,1,4D,Huntingdon,Warriors Mark,Private,Log,Partial,0.2,0.1,1,37.5,10,47.5,55,10,0,54,15,25,3,0,0,,,
8262,8262_2022_1,West,2022,5,10,40.65937,-78.16042,10125,1,4D,Huntingdon,Warriors Mark,Private,Log,Partial,0.2,0.1,2,57.5,5,12.5,100,0,0,272,9,27,3,0,0,,,
8265,8265_2022_1,Nest,2022,5,10,40.68287,-78.16817,10122,1,4D,Huntingdon,Warriors Mark,Private,Log,Complete,0.4,0.3,0.7,2.5,0,68,98,2.5,0,457,0,57,21,0,9,,,
8265,8265_2022_1,North,2022,5,10,40.68361,-78.16817,10122,1,4D,Huntingdon,Warriors Mark,Private,Log,Complete,0.4,0.4,0.7,22.5,0,87.5,45,5,0,27,0,23,31,0,0,,,
8265,8265_2022_1,East,2022,5,10,40.68287,-78.1672,10122,1,4D,Huntingdon,Warriors Mark,Private,Log,Complete,0.4,0.2,0.6,48,0,78,87.5,2.5,0,38,0,27,5,0,7,,,
8265,8265_2022_1,South,2022,5,10,40.68213,-78.16816,10122,1,4D,Huntingdon,Warriors Mark,Private,Log,Complete,0.4,0.2,0.6,20,0,50,70,27.5,0,35,0,20,3,0,1,,,
8265,8265_2022_1,West,2022,5,10,40.68287,-78.16914,10122,1,4D,Huntingdon,Warriors Mark,Private,Log,Complete,0.4,0.1,0.1,17.5,5,92.5,27.5,2.5,0,13,20,7,4,0,0,,,
8203,8203_2022_1,Nest,2022,5,18,40.82062,-77.56008,9775,1,4D,Centre,Gregg,Private,Bush,Complete,1,0.7,1.1,70,3,18,8,0,0,95,20,43,2,0,21,Evrgrn Shrub,Decid. Eric,
8203,8203_2022_1,North,2022,5,18,40.982144,-77.56011,9775,1,4D,Centre,Gregg,Private,Bush,Complete,1,0.2,2,65,3,10,57.5,0,2.5,325,6,32,2,0,20,,,
8203,8203_2022_1,East,2022,5,18,40.82076,-77.55902,9775,1,4D,Centre,Gregg,Private,Bush,Complete,1,0.8,1.4,37.5,0,52.5,20,0,0,80,0,83,2,0,5,,,
8203,8203_2022_1,South,2022,5,18,40.81981,-77.56007,9775,1,4D,Centre,Gregg,Private,Bush,Complete,1,0.1,0.1,17.5,0,7.5,85,0,0,563,0,8,2,0,2,,,
8203,8203_2022_1,West,2022,5,18,40.82048,-77.56114,9775,1,4D,Centre,Gregg,Private,Bush,Complete,1,0.5,0.8,62.5,5,32.5,5,0,0,173,25,20,2,0,6,,,
8202,8202_2022_1,Nest,2022,5,20,40.82471,-77.51604,10063,1,4D,Centre,Gregg,Public,Bush,Partial,1,0.6,1.8,85,0,0,85,0,5,188,0,0,2,13,2,Evrgrn Shrub,Decid. Eric,Heavy Mt. Laurel cover with sparse mature white oak and young striped maple. Steep Eastern facing slope leading to a hollow with a small stream.
8202,8202_2022_1,North,2022,5,20,40.825571,-77.516177,10063,1,4D,Centre,Gregg,Public,Bush,Partial,1,0.2,0.4,20,5,0,90,0,22.5,185,23,0,2,6,13,Evrgrn Shrub,Grpvines dwn/dead wood,Relatively open timber on steep talus slope
8202,8202_2022_1,East,2022,5,20,40.82488,-77.51495,10063,1,4D,Centre,Gregg,Public,Bush,Partial,1,0.1,2,92.5,0,0,90,0,0,213,0,0,2,0,4,Evrgrn Shrub,Grpvines dwn/dead wood,?á
8202,8202_2022_1,South,2022,5,20,40.823814,-77.51593,10063,1,4D,Centre,Gregg,Public,Bush,Partial,1,0.1,2,85,2.5,0,90,0,0,138,20,0,2,0,5,Evrgrn Shrub,,
8202,8202_2022_1,West,2022,5,20,40.824552,-77.517229,10063,1,4D,Centre,Gregg,Public,Bush,Partial,1,0.3,1.8,85,0,0,82.5,0,17.5,125,0,0,2,10,2,Evrgrn Shrub,,laurel
8405,8405_2022_1,Nest,2022,5,17,41.17591,-75.91668,10145,1,3D,Luzerne,Rice,Public,Tree,Partial,2,0.1,0.3,40,0,7.5,85,0,75,53,30,30,3,65,11,Grpvines dwn/dead wood,,
8405,8405_2022_1,North,2022,5,17,41.17679,-75.91686,10145,1,3D,Luzerne,Rice,Public,Tree,Partial,2,0.1,1.2,15,10,7.5,57.5,30,60,35,15,10,10,65,40,Grpvines dwn/dead wood,,Abandoned ground blind in SE plot
8405,8405_2022_1,East,2022,5,17,41.17626,-75.91599,10145,1,3D,Luzerne,Rice,Public,Tree,Partial,2,0.1,0.1,22.5,0,10,67.5,15,60,29,0,11,10,43,30,Grpvines dwn/dead wood,,
8405,8405_2022_1,South,2022,5,17,41.17546,-75.91661,10145,1,3D,Luzerne,Rice,Public,Tree,Partial,2,0.1,0.5,15,0,6.7,90,10,5,60,20,23,10,20,40,Grpvines dwn/dead wood,,
8405,8405_2022_1,West,2022,5,17,41.17582,-75.91778,10145,1,3D,Luzerne,Rice,Public,Tree,Partial,2,0.1,0.1,30,0,17.5,85,10,10,60,13,18,10,68,37,Grpvines dwn/dead wood,,
8261,8261_2022_1,Nest,2022,5,13,40.67295,-78.13505,9778,1,4D,Huntingdon,Warriors Mark,Private,Log,Partial,0.2,0.4,1,55,47.5,0,20,0,0,95,20,0,2,0,5,Decid. Non-eric,Grpvines dwn/dead wood,
8261,8261_2022_1,North,2022,5,13,40.673736,-78.135007,9778,1,4D,Huntingdon,Warriors Mark,Private,Log,Partial,0.2,0.1,0.1,12.5,27.5,5,52.5,2.5,0,43,20,8,2,0,1,Grpvines dwn/dead wood,,
8261,8261_2022_1,East,2022,5,13,40.672932,-78.133931,9778,1,4D,Huntingdon,Warriors Mark,Private,Log,Partial,0.2,0.2,0.8,35,5,0,70,2.5,0,58,10,0,2,0,1,Grpvines dwn/dead wood,,
8261,8261_2022_1,South,2022,5,13,40.672097,-78.135024,9778,1,4D,Huntingdon,Warriors Mark,Private,Log,Partial,0.2,0.4,1.1,40,2.5,5,60,0,0,80,20,20,2,0,10,Decid. Eric,,
8261,8261_2022_1,West,2022,5,13,40.672939,-78.136123,9778,1,4D,Huntingdon,Warriors Mark,Private,Log,Partial,0.2,0.3,0.4,55,0,7.5,62.5,0,0,75,0,30,2,0,5,Decid. Eric,,
4419,4419_2022_1,Nest,2022,5,27,40.80244,-77.50207,10126,1,4D,Centre,Penn,Public,Bush,Complete,2,1.4,1.5,100,0,0,100,2.5,0,250,0,0,2,0,5,Evrgrn Shrub,,all laurel
4419,4419_2022_1,North,2022,5,27,40.80332,-77.50216,10126,1,4D,Centre,Penn,Public,Bush,Complete,2,0.7,1.2,70,0,0,52.5,0,0,138,0,0,2,0,3,Evrgrn Shrub,,all laurel
4419,4419_2022_1,East,2022,5,27,40.80246,-77.50087,10126,1,4D,Centre,Penn,Public,Bush,Complete,2,0.2,1,62.5,0,0,42.5,0,32.5,103,0,0,2,25,1,Evrgrn Shrub,,all laurel
4419,4419_2022_1,South,2022,5,27,40.80152,-77.50204,10126,1,4D,Centre,Penn,Public,Bush,Complete,2,0.5,1.3,60,0,0,77.5,0,5,138,0,0,2,20,7,Evrgrn Shrub,,all laurel
4419,4419_2022_1,West,2022,5,27,40.80244,-77.50326,10126,1,4D,Centre,Penn,Public,Bush,Complete,2,0.2,0.6,60,12.5,0,32.5,20,0,250,20,0,2,0,2,Evrgrn Shrub,,all laurel
8483,8483_2022_1,Nest,2022,5,24,40.33763,-75.52419,10106,1,5C,Montgomery,New Hanover,Private,Bush,Complete,1.7,0.6,1.2,25,0,57.5,11.3,0,8.8,114,0,26,2,57,6,Non-native Invasive,Non-native Invasive,
8483,8483_2022_1,East,2022,5,24,40.33753,-75.52299,10106,1,5C,Montgomery,New Hanover,Private,Bush,Complete,1.7,0,0.7,15,0,77.5,8.8,0,5,137,0,30,1,38,8,Non-native Invasive,Non-native Invasive,
8483,8483_2022_1,South,2022,5,24,40.33672,-75.52425,10106,1,5C,Montgomery,New Hanover,Private,Bush,Complete,1.7,0.1,0.4,0,0,100,0,0,0,0,,20,0,0,0,Non-native Invasive,Non-native Invasive,
8189,8189_2022_1,Nest,2022,5,17,40.73663,-79.31372,10146,1,2D,Armstrong,Plumcreek,Private,Log,Partial,0.1,0.3,2,85,0,22.5,22.5,0,0,129,31,19,26,0,245,Non-native Invasive,Grpvines dwn/dead wood,
8189,8189_2022_1,North,2022,5,17,40.73729,-79.31396,10146,1,2D,Armstrong,Plumcreek,Private,Log,Partial,0.1,0.2,1.2,77.5,0,57.5,20,0,0,109,29,33,21,33,161,Decid. Non-eric,Grpvines dwn/dead wood,
8189,8189_2022_1,East,2022,5,17,40.7368,-79.31263,10146,1,2D,Armstrong,Plumcreek,Private,Log,Partial,0.1,0.2,0.6,62.5,30,20,37.5,0,5,75,37,20,18,26,54,Decid. Non-eric,Grpvines dwn/dead wood,
8189,8189_2022_1,South,2022,5,17,40.73581,-79.31352,10146,1,2D,Armstrong,Plumcreek,Private,Log,Partial,0.1,0.1,0.6,62.5,0,75,87.5,0,0,66,13,13,2,0,34,Non-native Invasive,Grpvines dwn/dead wood,
8189,8189_2022_1,West,2022,5,17,40.73654,-79.31448,10146,1,2D,Armstrong,Plumcreek,Private,Log,Partial,0.1,0.1,0.5,5,0,25,27.5,70,0,70,17,7,6,0,16,Grpvines dwn/dead wood,,
8462,8462_2022_1,Nest,2022,6,2,40.41732,-75.60569,10090,1,5C,Berks,Washington,Private,None,,0,0.5,1,0,0,100,0,0,0,0,0,70,0,0,0,,,Nest was in hayfield. Farmer bumped bird off of nest while cuttin. then farmer collected eggs for PGC. No trees no strubs. Nest was within 50m of treeline but no trees in plot. Hayfield was cut so robel is random point and farmer says cut hay was denser.
8462,8462_2022_1,North,2022,6,2,40.41823,-75.60561,10090,1,5C,Berks,Washington,Private,None,,0,0.5,1,0,0,100,0,0,0,0,0,70,0,0,0,,,In mowed hayfield/
8462,8462_2022_1,East,2022,6,2,40.41727,-75.60451,10090,1,5C,Berks,Washington,Private,None,,0,0.7,1.5,0,0,100,0,0,0,0,0,95,0,0,0,,,in unmowed part of field
8462,8462_2022_1,West,2022,6,2,40.41734,-75.60689,10090,1,5C,Berks,Washington,Private,None,,0,0.6,1.5,0,0,100,0,0,0,0,0,60,0,0,0,,,in unmowed part of field
8226,8226_2022_1,Nest,2022,6,2,41.21833,-77.03868,10105,1,4D,Lycoming,Armstrong,Private,Other,Complete,0.5,0.5,0.8,27.5,47.5,12.5,7.5,0,0,70,40,57,2,0,0,Decid. Eric,Decid. Non-eric,on powerline cut.
8226,8226_2022_1,North,2022,6,2,41.21929,-77.03855,10105,1,4D,Lycoming,Armstrong,Private,Other,Complete,0.5,0.2,0.2,12.5,0,67.5,20,0,2.5,400,0,9,2,7,8,Non-native Invasive,,point 30 ft from a house
8226,8226_2022_1,South,2022,6,2,41.2176,-77.0385,10105,1,4D,Lycoming,Armstrong,Private,Other,Complete,0.5,0.1,0.2,17.5,15,0,77.5,0,5,425,40,0,2,8,3,Decid. Eric,,in forest cover
8226,8226_2022_1,West,2022,6,2,41.21841,-77.0396,10105,1,4D,Lycoming,Armstrong,Private,Other,Complete,0.5,0.1,0.1,5,10,42.5,25,22.5,0,70,40,43,2,0,2,Decid. Eric,Decid. Non-eric,on powerline cut.
4662,4662_2022_1,Nest,2022,5,31,41.33588,-75.09927,10143,1,3D,Pike,Blooming Grove,Private,Bush,Complete,1,0.7,1.3,52.5,40,32.5,16.7,30,10,68,38,16,2,30,1,Decid. Eric,,NW quadrant counted moss as bare ground
4662,4662_2022_1,North,2022,5,31,41.33674,-75.09931,10143,1,3D,Pike,Blooming Grove,Private,Bush,Complete,1,0.4,1.2,90,10,0,12.5,0,5,80,30,5,2,13,24,Decid. Eric,Grpvines dwn/dead wood,
4662,4662_2022_1,East,2022,5,31,41.33586,-75.09808,10143,1,3D,Pike,Blooming Grove,Private,Bush,Complete,1,0.1,0.7,87.5,0,10,17.5,10,10,89,0,7,2,63,5,Decid. Eric,,NW quadrant counted moss as bare ground
4662,4662_2022_1,South,2022,5,31,41.3351256,-75.0989479,10143,1,3D,Pike,Blooming Grove,Private,Bush,Complete,1,0,1.3,27.5,0,35,80,32.5,13.3,106,10,6,2,55,34,Evrgrn Shrub,Decid. Eric,All quadrants counted moss as bare ground
4662,4662_2022_1,West,2022,5,31,41.3356563,-75.1003068,10143,1,3D,Pike,Blooming Grove,Private,Bush,Complete,1,0.1,0.6,70,15,20,10,0,0,46,12,10,1,15,0,Decid. Eric,,
4255,4255_2022_1,Nest,2022,5,26,41.5281937,-75.3957484,10095,1,3D,Wayne,South Canaan,Private,None,,0,0.4,0.8,10,0,87.5,27.5,10,0,15,0,63,3,0,0,Grpvines dwn/dead wood,,Hay trailer in SW quadrant covering 10% bare ground
4255,4255_2022_1,North,2022,5,26,41.529085,-75.396185,10095,1,3D,Wayne,South Canaan,Private,None,,0,0.2,0.4,30,0,75,20,20,20,48,0,63,4,40,5,Decid. Non-eric,,NW quadrant hay bail makes 10% of bare ground
4255,4255_2022_1,East,2022,5,26,41.52838,-75.39454,10095,1,3D,Wayne,South Canaan,Private,None,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Unable to conduct due to survey area being landowners house
4255,4255_2022_1,South,2022,5,26,41.527399,-75.395294,10095,1,3D,Wayne,South Canaan,Private,None,,0,0.1,0.6,10,0,90,10,10,0,54,60,59,6,0,2,,,NE & SE quadrant have fence line covering 10% of plots
4255,4255_2022_1,West,2022,5,26,41.52908,-75.39701,10095,1,3D,Wayne,South Canaan,Private,None,,0,0.1,0.6,22.5,7.5,0,90,0,25,17,24,10,5,75,33,Grpvines dwn/dead wood,,
8188,8188_2022_1,Nest,2022,5,31,40.71427,-79.30402,10142,1,2D,Armstrong,Plumcreek,Private,Slash,Partial,1.7,0.6,1.3,60,0,62.5,12.5,0,0,129,0,57,4,0,35,Decid. Non-eric,Grpvines dwn/dead wood,
8188,8188_2022_1,North,2022,5,31,40.71514,-79.30419,10142,1,2D,Armstrong,Plumcreek,Private,Slash,Partial,1.7,0.3,0.6,25,0,83,2.5,0,0,116,0,77,18,0,177,Decid. Non-eric,Grpvines dwn/dead wood,
8188,8188_2022_1,East,2022,5,31,40.71442,-79.30286,10142,1,2D,Armstrong,Plumcreek,Private,Slash,Partial,1.7,0.3,1.65,93,2.5,75,12.5,0,0,198,69,102,29,0,732,Non-native Invasive,Grpvines dwn/dead wood,
8188,8188_2022_1,South,2022,5,31,40.71339,-79.30389,10142,1,2D,Armstrong,Plumcreek,Private,Slash,Partial,1.7,0.4,0.8,15,0,100,0,0,0,98,0,82,10,0,41,Decid. Non-eric,,
8188,8188_2022_1,West,2022,5,31,40.71403,-79.30516,10142,1,2D,Armstrong,Plumcreek,Private,Slash,Partial,1.7,0.4,1.1,2.5,0,100,7.5,0,0,120,0,62,12,0,23,Non-native Invasive,,
8211,8211_2022_1,Nest,2022,6,1,40.96927,-78.17548,10060,1,4D,Clearfield,Morris,Private,Tree,Partial,2,0.2,2,22.5,0,77.5,0,0,0,600,0,60,0,0,38,Decid. Eric,Decid. Non-eric,
8211,8211_2022_1,North,2022,6,1,40.97053,-78.17541,10060,1,4D,Clearfield,Morris,Private,Tree,Partial,2,0.3,0.9,32.5,0,80,5,0,0,775,0,25,2,0,4,Non-native Invasive,,japanese barberry
8211,8211_2022_1,South,2022,6,1,40.96834,-78.17555,10060,1,4D,Clearfield,Morris,Private,Tree,Partial,2,0.2,2,40,0,57.5,35,0,0,500,0,23,2,0,80,Non-native Invasive,Grpvines dwn/dead wood,non-native = barberry
8211,8211_2022_1,West,2022,6,1,40.96952,-78.17654,10060,1,4D,Clearfield,Morris,Private,Tree,Partial,2,0.1,1.9,50,0,10,12.5,35,0,300,0,10,2,0,96,Decid. Eric,,
